Variable Name,Description,UNITS,Response Type,Response Options - text,Response Options - value
AGE_EN,Age:,years,text,text,text
GENDER_EN,Gender:,,single-select,"Male, Female","1,2"
VISIT_DATE_EN,Last seen normal date ,DD-MM-YYYY,text,date,date
VISIT_TIME_EN,Last seen normal time: ,HH:MM,text,time,time
HOSPITAL_DATE_EN,Date of admission to the first hospital:,DD-MM-YYYY,text,date,date
HOSPITAL_TIME_EN,Time of admission to the first hospital:,HH:MM,text,time,time
HOSPITAL_STROKE_EN,Stroke in the hospital:,,single-select,"Yes, No, Not known","1,2,3"
RECURRENT_STROKE_EN,Recurrent stroke:,,single-select,"Yes, No, Not known","1,2,3"
DEPARTMENT_TYPE_EN,Department type:,,single-select,"neurology, neurosurgery, anesthesiology/resuscitation/critical care department, internal medicine, geriatrics, other","1,2,3,4,5,6"
HOSPITALIZED_IN_EN,The patient was hospitalized in:,,single-select,"Stroke unit / ICU, Other monitored bed (telemetry), Standard bed","1,2,3"
ASSESSED_FOR_REHAB_EN,The patient was assessed for rehabilitation needs by PT/OT/S within the first 72 hours after the admission to the hospital:,,single-select,"Yes, No, Not known","1,2,3"
STROKE_TYPE_EN,Stroke type:,,single-select,"Ischemic stroke, Intracerebral hemorrhage, Transient ischemic attack - TIA, Subarachnoid hemorrhage, Cerebral venous thrombosis, Undetermined","1,2,3,4,5,6"
CONSCIOUSNESS_LEVEL_EN,Level of consciousness on admission:,,single-select,"Alert, Drowsy, Comatose, Glasgow coma scale (GCS), Not known","1,2,3,4,5"
GCS_EN,Glasgow coma scale (GCS):,,single-select,"15 - 13,12 - 8,< 8","1,2,3"
NIHSS_EN,NIHSS on admission:,,single-select,"Not performed, Performed, Not known","1,2,3"
NIHSS_SCORE_EN,Score:,,text,text,text
CT_MRI_EN,Head CT/MRI:,,single-select,"Not performed, Performed, Not known","1,2,3"
CT_TIME_EN,Time performed:,,single-select,"Within 1 hour after admission, Later than 1 hour after admission","1,2"
VENTILATOR_EN,Was the patient put on a ventilator?,,single-select,"Yes, No, Not known","1,2,3"
RECANALIZATION_PROCEDURES_EN,Recanalization procedures:,,single-select,"Not done - primary centre / comprehensive centre, IV tPa - primary centre / comprehensive centre, IV tPa + endovascular treatment - comprehensive centre, Endovascular treatment alone - comprehensive centre, IV tPa + referred to another centre for endovascular treatment - primary centre, Referred to another centre for endovascular treatment - primary centre, Patient referred to another centre for endovascular treatment and hospitalization continues at the referred to centre - comprehensive centre, Patient referred for endovascular treatment and patient is returned to the initial centre - comprehensive centre, Patient was returned to the initial centre after recanalization procedures were performed at another centre","1,2,3,4,5,6,7,8,9"
IVT_ONLY_EN,IV tPA:,,single-select,"Door to needle time, Bolus time","1,2"
IVT_ONLY_NEEDLE_TIME_EN,Door to needle time:,minutes,text,text,text
IVT_ONLY_ADMISSION_TIME_EN,Admission time:,HH:MM,text,text,text
IVT_ONLY_BOLUS_TIME_EN,Bolus time:,HH:MM,text,text,text
IVT_TBY_EN,IV tPa + endovascular treatment - comprehensive centre:,,single-select,"Door to needle time, Bolus time","1,2"
IVT_TBY_NEEDLE_TIME_EN,Door to needle time (time from admission to treatment):,minutes,text,text,text
IVT_TBY_GROIN_TIME_EN,Door to groin puncture time:,minutes,text,text,text
IVT_TBY_ADMISSION_TIME_EN,Admission time:,HH:MM,text,text,text
IVT_TBY_BOLUS_TIME_EN,Bolus time:,HH:MM,text,text,text
IVT_TBY_GROIN_PUNCTURE_TIME_EN,Groin puncture time:,HH:MM,text,text,text
TBY_ONLY_EN,Endovascular treatment alone:,,single-select,"Door to groin puncture time, Groin puncture time","1,2"
TBY_ONLY_GROIN_PUNCTURE_TIME_EN,Door to groin puncture time:,minutes,text,text,text
TBY_ONLY_ADMISSION_TIME_EN,Admission time:,HH:MM,text,text,text
TBY_ONLY_PUNCTURE_TIME_EN,Groin puncture time:,HH:MM,text,text,text
IVT_TBY_REFER_EN,IV tPa + referred to another center for endovascular treatment:,,single-select,"Door to needle time, Bolus time","1,2"
